Provincia;Distrito;SE 1/2025-6/2025;1/2025;2/2025;3/2025;4/2025;5/2025;6/2025;Tendencia
CHICLAYO;CHICLAYO;26;4;4;4;5;5;4;
CHICLAYO;CHONGOYAPE;9;1;3;3;0;1;1;
CHICLAYO;JOSE LEONARDO ORTIZ;7;2;0;1;0;1;3;
CHICLAYO;LA VICTORIA;31;2;4;6;7;9;3;
CHICLAYO;LAGUNAS;1;0;0;0;0;1;0;
CHICLAYO;MONSEFU;6;0;1;1;0;3;1;
CHICLAYO;OYOTUN;4;0;0;0;1;1;2;
CHICLAYO;PIMENTEL;3;0;0;1;0;1;1;
CHICLAYO;REQUE;1;1;0;0;0;0;0;
CHICLAYO;SAÑA;3;0;0;3;0;0;0;
CHICLAYO;PATAPO;14;2;5;1;3;2;1;
CHICLAYO;POMALCA;20;3;5;1;1;4;6;
CHICLAYO;PUCALA;4;0;0;0;2;2;0;
CHICLAYO;TUMAN;11;0;6;0;3;2;0;
FERREÑAFE;FERREÑAFE;16;2;7;1;2;3;1;
FERREÑAFE;MANUEL ANTONIO MESONES MURO;6;0;2;1;0;1;2;
FERREÑAFE;PITIPO;10;0;0;4;5;0;1;
FERREÑAFE;PUEBLO NUEVO;1;0;0;1;0;0;0;
LAMBAYEQUE;LAMBAYEQUE;14;2;2;1;2;5;2;
LAMBAYEQUE;JAYANCA;8;1;2;0;3;2;0;
LAMBAYEQUE;MORROPE;5;0;2;1;0;1;1;
LAMBAYEQUE;MOTUPE;6;0;3;1;1;0;1;
LAMBAYEQUE;OLMOS;23;4;5;9;3;2;0;
LAMBAYEQUE;PACORA;1;0;0;0;0;0;1;
LAMBAYEQUE;SALAS;1;0;1;0;0;0;0;
LAMBAYEQUE;SAN JOSE;4;1;2;1;0;0;0;
LAMBAYEQUE;TUCUME;4;1;0;2;0;0;1;
