Provincia;Distrito;Casos;%;TIA x100 000 Hab;Casos;%;TIA x100 000 Hab;Casos en la SE 6 2025;Defunciones;Defunciones en la SE 6 2025;Letalidad (%)
CHICLAYO;LA VICTORIA;70;7.08;68.81;31;12.97;30.73;3;0;0;0
CHICLAYO;CHICLAYO;130;13.14;44.39;26;10.88;9;4;0;0;0
CHICLAYO;POMALCA;5;0.51;17.48;20;8.37;69.13;6;0;0;0
CHICLAYO;PATAPO;18;1.82;69.78;14;5.86;54.71;1;0;0;0
CHICLAYO;TUMAN;6;0.61;19.54;11;4.6;35.69;0;0;0;0
CHICLAYO;CHONGOYAPE;9;0.91;43.48;9;3.77;42.98;1;0;0;0
CHICLAYO;JOSE LEONARDO ORTIZ;30;3.03;17.96;7;2.93;4.3;3;0;0;0
CHICLAYO;MONSEFU;8;0.81;19.81;6;2.51;14.12;1;0;0;0
CHICLAYO;OYOTUN;17;1.72;198.67;4;1.67;45.85;2;0;0;0
CHICLAYO;PUCALA;4;0.4;42.66;4;1.67;42.05;0;0;0;0
CHICLAYO;PIMENTEL;4;0.4;7.48;3;1.26;5.64;1;0;0;0
CHICLAYO;SAÑA;22;2.22;174.49;3;1.26;24.14;0;0;0;0
CHICLAYO;LAGUNAS;2;0.2;17.73;1;0.42;8.86;0;0;0;0
CHICLAYO;REQUE;4;0.4;21.69;1;0.42;5.47;0;0;0;0
CHICLAYO;CAYALTI;48;4.85;291.28;0;0;0;0;0;0;0
CHICLAYO;ETEN;19;1.92;135.14;0;0;0;0;0;0;0
CHICLAYO;SANTA ROSA;2;0.2;13.59;0;0;0;0;0;0;0
FERREÑAFE;FERREÑAFE;127;12.84;327.5;16;6.69;41.93;1;0;0;0
FERREÑAFE;PITIPO;11;1.11;49.42;10;4.18;45.91;1;0;0;0
FERREÑAFE;MANUEL ANTONIO MESONES MURO;45;4.55;1051.4;6;2.51;140.98;2;0;0;0
FERREÑAFE;PUEBLO NUEVO;42;4.25;261.7;1;0.42;6.4;0;0;0;0
LAMBAYEQUE;OLMOS;14;1.42;23.54;23;9.62;38.53;0;0;0;0
LAMBAYEQUE;LAMBAYEQUE;111;11.22;130.94;14;5.86;16.91;2;0;0;0
LAMBAYEQUE;JAYANCA;32;3.24;145.9;8;3.35;35.59;0;0;0;0
LAMBAYEQUE;MOTUPE;1;0.1;2.68;6;2.51;15.9;1;0;0;0
LAMBAYEQUE;MORROPE;2;0.2;3.45;5;2.09;8.95;1;0;0;0
LAMBAYEQUE;SAN JOSE;17;1.72;88.61;4;1.67;20.93;0;0;0;0
LAMBAYEQUE;TUCUME;93;9.4;331.57;4;1.67;13.73;1;0;0;0
LAMBAYEQUE;PACORA;3;0.3;31.79;1;0.42;10.78;1;0;0;0
LAMBAYEQUE;SALAS;1;0.1;6.32;1;0.42;5.97;0;0;0;0
LAMBAYEQUE;ILLIMO;49;4.95;425.68;0;0;0;0;0;0;0
LAMBAYEQUE;MOCHUMI;43;4.35;185.23;0;0;0;0;0;0;0
